Sr No,US_Yes,P(Y),Bins,,,n,850,0.202863962,,,
1,1,0.664741931,1,,,,,,,,
2,1,0.652784333,1,,bin,No of US Customer in Each Bin,%(No of US Customer),Cummulative % of No. of US Customer,Normal Curve(Cumulative),Extreme(Cummulative),Area 
3,1,0.640717671,1,,0,0,0,0,0,0,
4,1,0.640717671,1,,1,60,0.143198091,0.143198091,0.1,0.2,0.007159905
5,1,0.638932709,1,,2,41,0.097852029,0.241050119,0.2,0.4,0.019212411
6,0,0.6376038,1,,3,43,0.102625298,0.343675418,0.3,0.6,0.029236277
7,1,0.6376038,1,,4,41,0.097852029,0.441527446,0.4,0.8,0.039260143
8,0,0.630515116,1,,5,40,0.095465394,0.53699284,0.5,1,0.048926014
9,1,0.630515116,1,,6,40,0.095465394,0.632458234,0.6,1,0.058472554
10,0,0.627804346,1,,7,35,0.08353222,0.715990453,0.7,1,0.067422434
11,1,0.626458425,1,,8,47,0.112171838,0.828162291,0.8,1,0.077207637
12,0,0.624404564,1,,9,41,0.097852029,0.92601432,0.9,1,0.087708831
13,1,0.624404564,1,,10,31,0.07398568,1,1,1,0.096300716
14,1,0.623723121,1,,,419,,,,,
15,1,0.622813769,1,,,,,,,AUC,0.530906921
16,0,0.620764571,1,,,,,,,ROC,0.061813842
17,1,0.620207159,1,,,,,,,,
18,1,0.619294496,1,,,,,,,,
19,0,0.616309918,1,,,,,,,,
20,1,0.615622829,1,,,,,,,,
21,1,0.612869884,1,,,,,,,,
22,1,0.61219319,1,,,,,,,,
23,0,0.611618377,1,,,,,,,,
24,1,0.611158303,1,,,,,,,,
25,1,0.608381,1,,,,,,,,
26,1,0.608047656,1,,,,,,,,
27,1,0.607457905,1,,,,,,,,
28,0,0.607227011,1,,,,,,,,
29,1,0.606649566,1,,,,,,,,
30,1,0.605146818,1,,,,,,,,
31,1,0.605043901,1,,,,,,,,
32,0,0.604684033,1,,,,,,,,
33,1,0.604684033,1,,,,,,,,
34,1,0.60271511,1,,,,,,,,
35,1,0.602483252,1,,,,,,,,
36,0,0.602392886,1,,,,,,,,
37,1,0.602367305,1,,,,,,,,
38,1,0.60155536,1,,,,,,,,
39,1,0.601103944,1,,,,,,,,
40,1,0.600755663,1,,,,,,,,
41,0,0.600174969,1,,,,,,,,
42,0,0.598547532,1,,,,,,,,
43,1,0.597370899,1,,,,,,,,
44,1,0.597138007,1,,,,,,,,
45,0,0.596206,1,,,,,,,,
46,0,0.596102308,1,,,,,,,,
47,1,0.596102308,1,,,,,,,,
48,0,0.595765457,1,,,,,,,,
49,1,0.595623143,1,,,,,,,,
50,1,0.595169529,1,,,,,,,,
51,1,0.595052884,1,,,,,,,,
52,1,0.595040016,1,,,,,,,,
53,1,0.594923358,1,,,,,,,,
54,1,0.594248939,1,,,,,,,,
55,0,0.593989712,1,,,,,,,,
56,0,0.593769074,1,,,,,,,,
57,1,0.593639419,1,,,,,,,,
58,1,0.592704839,1,,,,,,,,
59,0,0.592029259,1,,,,,,,,
60,0,0.590833672,1,,,,,,,,
61,0,0.590014205,1,,,,,,,,
62,1,0.590014205,1,,,,,,,,
63,0,0.589558635,1,,,,,,,,
64,1,0.589545713,1,,,,,,,,
65,1,0.588503946,1,,,,,,,,
66,1,0.588152201,1,,,,,,,,
67,1,0.588139266,1,,,,,,,,
68,1,0.587435501,1,,,,,,,,
69,1,0.587200833,1,,,,,,,,
70,1,0.587200833,1,,,,,,,,
71,0,0.587096429,1,,,,,,,,
72,1,0.586966125,1,,,,,,,,
73,1,0.585791996,1,,,,,,,,
74,1,0.584760379,1,,,,,,,,
75,1,0.584499328,1,,,,,,,,
76,0,0.584407694,1,,,,,,,,
77,1,0.584277143,1,,,,,,,,
78,1,0.58368909,1,,,,,,,,
79,1,0.58297013,1,,,,,,,,
80,0,0.582067261,1,,,,,,,,
81,0,0.581923508,1,,,,,,,,
82,1,0.581687938,1,,,,,,,,
83,1,0.581334512,1,,,,,,,,
84,1,0.581216685,1,,,,,,,,
85,1,0.580850147,1,,,,,,,,
86,1,0.58062741,2,,,,,,,,
87,1,0.580614407,2,,,,,,,,
88,0,0.580378631,2,,,,,,,,
89,0,0.580181838,2,,,,,,,,
90,1,0.578963206,2,,,,,,,,
91,0,0.578255004,2,,,,,,,,
92,0,0.577795718,2,,,,,,,,
93,1,0.576955801,2,,,,,,,,
94,1,0.576010256,2,,,,,,,,
95,1,0.575892024,2,,,,,,,,
96,1,0.575681621,2,,,,,,,,
97,1,0.575195495,2,,,,,,,,
98,1,0.574603949,2,,,,,,,,
99,1,0.574590896,2,,,,,,,,
100,0,0.574498668,2,,,,,,,,
101,1,0.574235863,2,,,,,,,,
102,0,0.573880754,2,,,,,,,,
103,0,0.573538629,2,,,,,,,,
104,1,0.573407156,2,,,,,,,,
105,1,0.573117192,2,,,,,,,,
106,1,0.571392872,2,,,,,,,,
107,0,0.571208058,2,,,,,,,,
108,1,0.57095782,2,,,,,,,,
109,0,0.570799982,2,,,,,,,,
110,0,0.570457235,2,,,,,,,,
111,0,0.570088246,2,,,,,,,,
112,0,0.569850936,2,,,,,,,,
113,1,0.56904629,2,,,,,,,,
114,0,0.569033194,2,,,,,,,,
115,0,0.567858724,2,,,,,,,,
116,0,0.567277756,2,,,,,,,,
117,0,0.566432616,2,,,,,,,,
118,1,0.566300609,2,,,,,,,,
119,1,0.564886424,2,,,,,,,,
120,0,0.564860173,2,,,,,,,,
121,1,0.564754307,2,,,,,,,,
122,1,0.564278267,2,,,,,,,,
123,1,0.563908028,2,,,,,,,,
124,0,0.563696184,2,,,,,,,,
125,0,0.563233019,2,,,,,,,,
126,1,0.563087651,2,,,,,,,,
127,1,0.562875718,2,,,,,,,,
128,1,0.562730323,2,,,,,,,,
129,0,0.562266928,2,,,,,,,,
130,0,0.562134633,2,,,,,,,,
131,1,0.562134633,2,,,,,,,,
132,0,0.561419568,2,,,,,,,,
133,1,0.561313515,2,,,,,,,,
134,1,0.561075091,2,,,,,,,,
135,0,0.561048789,2,,,,,,,,
136,0,0.560810334,2,,,,,,,,
137,1,0.560691095,2,,,,,,,,
138,0,0.560227228,2,,,,,,,,
139,1,0.559259692,2,,,,,,,,
140,0,0.559193016,2,,,,,,,,
141,1,0.558782338,2,,,,,,,,
142,0,0.558556786,2,,,,,,,,
143,0,0.558224999,2,,,,,,,,
144,0,0.55760165,2,,,,,,,,
145,0,0.557508575,2,,,,,,,,
146,1,0.55701765,2,,,,,,,,
147,0,0.556885018,2,,,,,,,,
148,0,0.556752379,2,,,,,,,,
149,1,0.556752379,2,,,,,,,,
150,0,0.556287644,2,,,,,,,,
151,0,0.555092408,2,,,,,,,,
152,1,0.554986038,2,,,,,,,,
153,0,0.554481359,2,,,,,,,,
154,0,0.55437496,2,,,,,,,,
155,0,0.554148954,2,,,,,,,,
156,1,0.554029345,2,,,,,,,,
157,1,0.55390973,2,,,,,,,,
158,0,0.553644089,2,,,,,,,,
159,0,0.552806514,2,,,,,,,,
160,1,0.552806514,2,,,,,,,,
161,0,0.552806514,2,,,,,,,,
162,1,0.552406986,2,,,,,,,,
163,0,0.552340969,2,,,,,,,,
164,0,0.551502929,2,,,,,,,,
165,1,0.551289855,2,,,,,,,,
166,1,0.550890939,2,,,,,,,,
167,0,0.550664597,2,,,,,,,,
168,0,0.550558026,2,,,,,,,,
169,1,0.550531599,2,,,,,,,,
170,1,0.550425021,2,,,,,,,,
171,0,0.549839195,3,,,,,,,,
172,1,0.549745806,3,,,,,,,,
173,1,0.549745806,3,,,,,,,,
174,1,0.549745806,3,,,,,,,,
175,1,0.549492921,3,,,,,,,,
176,1,0.549333419,3,,,,,,,,
177,1,0.549333419,3,,,,,,,,
178,0,0.548787006,3,,,,,,,,
179,1,0.548267793,3,,,,,,,,
180,0,0.548267793,3,,,,,,,,
181,1,0.548147893,3,,,,,,,,
182,0,0.548147893,3,,,,,,,,
183,0,0.546241979,3,,,,,,,,
184,1,0.545975514,3,,,,,,,,
185,0,0.545881985,3,,,,,,,,
186,0,0.545748739,3,,,,,,,,
187,0,0.545401919,3,,,,,,,,
188,1,0.545161855,3,,,,,,,,
189,1,0.545148613,3,,,,,,,,
190,0,0.545148613,3,,,,,,,,
191,0,0.544801718,3,,,,,,,,
192,0,0.544681662,3,,,,,,,,
193,0,0.544321463,3,,,,,,,,
194,0,0.544308218,3,,,,,,,,
195,1,0.544188141,3,,,,,,,,
196,0,0.543334208,3,,,,,,,,
197,0,0.54324059,3,,,,,,,,
198,1,0.54324059,3,,,,,,,,
199,1,0.54321409,3,,,,,,,,
200,0,0.543107217,3,,,,,,,,
201,0,0.542292726,3,,,,,,,,
202,0,0.542025887,3,,,,,,,,
203,0,0.542025887,3,,,,,,,,
204,1,0.54191897,3,,,,,,,,
205,1,0.541825307,3,,,,,,,,
206,0,0.54177228,3,,,,,,,,
207,1,0.54177228,3,,,,,,,,
208,1,0.541665355,3,,,,,,,,
209,0,0.541558425,3,,,,,,,,
210,1,0.541545168,3,,,,,,,,
211,0,0.541451492,3,,,,,,,,
212,1,0.54094416,3,,,,,,,,
213,1,0.540089286,3,,,,,,,,
214,0,0.539862048,3,,,,,,,,
215,1,0.539862048,3,,,,,,,,
216,0,0.53974179,3,,,,,,,,
217,1,0.539247444,3,,,,,,,,
218,1,0.538712341,3,,,,,,,,
219,0,0.53865926,3,,,,,,,,
220,1,0.53864599,3,,,,,,,,
221,1,0.538525686,3,,,,,,,,
222,1,0.538351422,3,,,,,,,,
223,1,0.538311607,3,,,,,,,,
224,1,0.538057697,3,,,,,,,,
225,0,0.537375501,3,,,,,,,,
226,0,0.536653331,3,,,,,,,,
227,0,0.536506396,3,,,,,,,,
228,0,0.535998282,3,,,,,,,,
229,1,0.53570348,3,,,,,,,,
230,0,0.535543223,3,,,,,,,,
231,1,0.53543609,3,,,,,,,,
232,1,0.535396241,3,,,,,,,,
233,1,0.53516868,3,,,,,,,,
234,1,0.534218428,3,,,,,,,,
235,0,0.533977503,3,,,,,,,,
236,1,0.533843746,3,,,,,,,,
237,1,0.533361833,3,,,,,,,,
238,0,0.533147435,3,,,,,,,,
239,0,0.533120853,3,,,,,,,,
240,1,0.532866565,3,,,,,,,,
241,1,0.532772646,3,,,,,,,,
242,0,0.532746061,3,,,,,,,,
243,1,0.532384526,3,,,,,,,,
244,0,0.532049548,3,,,,,,,,
245,1,0.531821781,3,,,,,,,,
246,0,0.531701244,3,,,,,,,,
247,1,0.531540813,3,,,,,,,,
248,0,0.53146016,3,,,,,,,,
249,0,0.531085207,3,,,,,,,,
250,0,0.529570875,3,,,,,,,,
251,1,0.529517662,3,,,,,,,,
252,0,0.529410361,3,,,,,,,,
253,1,0.529142532,3,,,,,,,,
254,0,0.529035222,3,,,,,,,,
255,0,0.528914603,3,,,,,,,,
256,0,0.528780675,4,,,,,,,,
257,0,0.528780675,4,,,,,,,,
258,0,0.528056871,4,,,,,,,,
259,0,0.527868811,4,,,,,,,,
260,0,0.527842194,4,,,,,,,,
261,1,0.52748023,4,,,,,,,,
262,1,0.527372879,4,,,,,,,,
263,0,0.527359569,4,,,,,,,,
264,0,0.527265526,4,,,,,,,,
265,1,0.527091616,4,,,,,,,,
266,1,0.526769528,4,,,,,,,,
267,1,0.526769528,4,,,,,,,,
268,1,0.526246852,4,,,,,,,,
269,0,0.526246852,4,,,,,,,,
270,1,0.525764061,4,,,,,,,,
271,1,0.525750747,4,,,,,,,,
272,0,0.525455199,4,,,,,,,,
273,0,0.525401937,4,,,,,,,,
274,1,0.525187138,4,,,,,,,,
275,1,0.524945696,4,,,,,,,,
276,1,0.524838288,4,,,,,,,,
277,0,0.524798337,4,,,,,,,,
278,1,0.524462778,4,,,,,,,,
279,0,0.524113878,4,,,,,,,,
280,0,0.523859066,4,,,,,,,,
281,1,0.523791595,4,,,,,,,,
282,1,0.523738315,4,,,,,,,,
283,1,0.523523446,4,,,,,,,,
284,1,0.523281927,4,,,,,,,,
285,0,0.523147841,4,,,,,,,,
286,0,0.523000431,4,,,,,,,,
287,1,0.522866338,4,,,,,,,,
288,0,0.522289093,4,,,,,,,,
289,0,0.522275769,4,,,,,,,,
290,0,0.522168307,4,,,,,,,,
291,0,0.522020871,4,,,,,,,,
292,1,0.521940052,4,,,,,,,,
293,0,0.521940052,4,,,,,,,,
294,0,0.521322735,4,,,,,,,,
295,0,0.521322735,4,,,,,,,,
296,0,0.521296083,4,,,,,,,,
297,0,0.521161951,4,,,,,,,,
298,1,0.520839495,4,,,,,,,,
299,0,0.520812842,4,,,,,,,,
300,0,0.520584534,4,,,,,,,,
301,1,0.520007062,4,,,,,,,,
302,1,0.519778724,4,,,,,,,,
303,1,0.519765395,4,,,,,,,,
304,0,0.519631228,4,,,,,,,,
305,0,0.519510389,4,,,,,,,,
306,0,0.519510389,4,,,,,,,,
307,1,0.519107865,4,,,,,,,,
308,1,0.518919488,4,,,,,,,,
309,0,0.518328534,4,,,,,,,,
310,0,0.51830187,4,,,,,,,,
311,1,0.517429111,4,,,,,,,,
312,1,0.51656958,4,,,,,,,,
313,1,0.516394471,4,,,,,,,,
314,1,0.516005105,4,,,,,,,,
315,0,0.516005105,4,,,,,,,,
316,1,0.515172091,4,,,,,,,,
317,1,0.515011163,4,,,,,,,,
318,0,0.514433239,4,,,,,,,,
319,0,0.514406561,4,,,,,,,,
320,1,0.51415137,4,,,,,,,,
321,1,0.513815258,4,,,,,,,,
322,0,0.513815258,4,,,,,,,,
323,1,0.513223915,4,,,,,,,,
324,0,0.513223915,4,,,,,,,,
325,0,0.512861087,4,,,,,,,,
326,0,0.512780166,4,,,,,,,,
327,0,0.512605853,4,,,,,,,,
328,1,0.512243002,4,,,,,,,,
329,1,0.512162076,4,,,,,,,,
330,1,0.511759181,4,,,,,,,,
331,0,0.511745839,4,,,,,,,,
332,0,0.511638222,4,,,,,,,,
333,1,0.51162488,4,,,,,,,,
334,1,0.511382958,4,,,,,,,,
335,0,0.511382958,4,,,,,,,,
336,0,0.511288681,4,,,,,,,,
337,0,0.511275338,4,,,,,,,,
338,1,0.511167717,4,,,,,,,,
339,1,0.510939129,4,,,,,,,,
340,1,0.510912442,4,,,,,,,,
341,1,0.510576222,5,,,,,,,,
342,0,0.510562878,5,,,,,,,,
343,1,0.510428562,5,,,,,,,,
344,0,0.510280901,5,,,,,,,,
345,0,0.509837031,5,,,,,,,,
346,0,0.509621762,5,,,,,,,,
347,1,0.509474091,5,,,,,,,,
348,1,0.509339763,5,,,,,,,,
349,0,0.508990156,5,,,,,,,,
350,1,0.50864054,5,,,,,,,,
351,0,0.50864054,5,,,,,,,,
352,0,0.508613848,5,,,,,,,,
353,0,0.508559589,5,,,,,,,,
354,1,0.508129883,5,,,,,,,,
355,1,0.508116537,5,,,,,,,,
356,0,0.507901242,5,,,,,,,,
357,1,0.507820287,5,,,,,,,,
358,1,0.507793594,5,,,,,,,,
359,0,0.507417256,5,,,,,,,,
360,0,0.50716191,5,,,,,,,,
361,0,0.50704091,5,,,,,,,,
362,0,0.506852296,5,,,,,,,,
363,0,0.506704598,5,,,,,,,,
364,1,0.506072876,5,,,,,,,,
365,1,0.506072876,5,,,,,,,,
366,0,0.505507877,5,,,,,,,,
367,1,0.505467832,5,,,,,,,,
368,0,0.505131495,5,,,,,,,,
369,1,0.505010482,5,,,,,,,,
370,1,0.503571639,5,,,,,,,,
371,0,0.50355829,5,,,,,,,,
372,1,0.503410572,5,,,,,,,,
373,0,0.503181882,5,,,,,,,,
374,0,0.502993239,5,,,,,,,,
375,0,0.502953191,5,,,,,,,,
376,1,0.502711148,5,,,,,,,,
377,1,0.502697799,5,,,,,,,,
378,1,0.502469105,5,,,,,,,,
379,0,0.502092688,5,,,,,,,,
380,0,0.501971665,5,,,,,,,,
381,1,0.500909149,5,,,,,,,,
382,1,0.5001296,5,,,,,,,,
383,0,0.500035275,5,,,,,,,,
384,1,0.500035275,5,,,,,,,,
385,1,0.499779875,5,,,,,,,,
386,0,0.499779875,5,,,,,,,,
387,0,0.499551175,5,,,,,,,,
388,0,0.499188101,5,,,,,,,,
389,0,0.499067076,5,,,,,,,,
390,1,0.499040376,5,,,,,,,,
391,1,0.498744053,5,,,,,,,,
392,0,0.498085534,5,,,,,,,,
393,1,0.497977861,5,,,,,,,,
394,0,0.497735815,5,,,,,,,,
395,1,0.497722466,5,,,,,,,,
396,1,0.497467072,5,,,,,,,,
397,1,0.497305126,5,,,,,,,,
398,0,0.497291776,5,,,,,,,,
399,0,0.497104007,5,,,,,,,,
400,1,0.497104007,5,,,,,,,,
401,1,0.496902015,5,,,,,,,,
402,1,0.496767645,5,,,,,,,,
403,0,0.496646625,5,,,,,,,,
404,0,0.496391238,5,,,,,,,,
405,0,0.49578615,5,,,,,,,,
406,0,0.495060061,5,,,,,,,,
407,1,0.495060061,5,,,,,,,,
408,0,0.494723721,5,,,,,,,,
409,0,0.494697024,5,,,,,,,,
410,0,0.494481699,5,,,,,,,,
411,0,0.493863308,5,,,,,,,,
412,1,0.493674687,5,,,,,,,,
413,0,0.493486943,5,,,,,,,,
414,1,0.493486943,5,,,,,,,,
415,0,0.492397936,5,,,,,,,,
416,1,0.492303633,5,,,,,,,,
417,0,0.492182637,5,,,,,,,,
